2 draft-gutmann-keycont-00.txt  UNKNOWN auckland
3 draft-jang-16ng-llm-00.txt  samsung etri samsung
1 draft-saintandre-xmpp-interop-report-00.txt  jabber
2 draft-linn-otp-tls-00.txt  rsasecurity rsa rsa
1 draft-snell-atompub-revision-00.txt  snellspace
1 draft-chen-idr-bgp-nexthop-orf-00.txt  huawei
1 draft-burger-lemonade-streamctrls-00.txt  cantata
1 draft-symington-dtnrg-bundle-multicast-custodial-00.txt  mitre mitre mitre
1 draft-yafan-fmc-arch-00.txt  stoke
1 draft-savola-rtgwg-backbone-attacks-00.txt  funet
1 draft-sivachelvan-iptel-call-type-00.txt  cisco
2 draft-ietf-msec-mikey-applicability-00.txt  siemens polycom
3 draft-toutain-softwire-point6box-00.txt  enst-bretagne enst-bretagne point6 orange-ft
1 draft-uijterwaal-rpsl-4byteas-ext-00.txt  ripe
1 draft-ietf-tsvwg-ecn-alternates-00.txt  icir
1 draft-asveren-dime-ansack-00.txt  ulticom
2 draft-nishida-netlmm-protocol-applicability-00.txt  nttdocomo kddi
1 draft-ietf-ltans-ari-00.txt  opentext
6 draft-ietf-behave-tcp-00.txt  cornell cisco mit cornell cisco caymas systems
2 draft-ietf-lemonade-firewall-binding-00.txt  oracle oracle ericsson
2 draft-vandevelde-v6ops-addcon-00.txt  cisco cisco soton
1 draft-worley-sip-dialog-00.txt  pingtel
1 draft-savola-bcp84-urpf-experiences-00.txt  funet
3 draft-bhatia-manral-white-ospf-hmac-sha-00.txt  lucent ipinfusion cisco
4 draft-nadeau-l2vpn-vpls-mib-00.txt  cisco cisco alcatel alcatel alcatel zte zte zte zte kddi
2 draft-ietf-sieve-mime-loop-00.txt  att cyrusoft
2 draft-rosen-sos-phonebcp-00.txt  brianrosen cisco
1 draft-rosenberg-rai-phone-names-numbers-00.txt  cisco
2 draft-ietf-dhc-dhcpv6-rfc868-servers-00.txt  cisco arrisi
1 draft-zhang-pwe3-pw-mcast-00.txt  huawei huawei huawei
1 draft-stirbu-widex-beep-00.txt  nokia
2 draft-ietf-v6ops-802-16-deployment-scenarios-00.txt  etri kut
1 draft-ietf-newtrk-docid-00.txt  jck
1 draft-reschke-http-etag-on-write-00.txt  greenbytes
1 draft-thaler-autoconf-multisubnet-manets-00.txt  microsoft
1 draft-rosen-speermint-peeringbcp-v1-00.txt  neustar
1 draft-link-avt-rtp-eac3-00.txt  dolby
4 draft-berger-ospf-rfc2370bis-00.txt  UNKNOWN labn advaoptical psg
1 draft-ietf-isis-wg-extlsp-00.txt  cisco cisco cisco
1 draft-hellstrom-textpreview-00.txt  omnitor
1 draft-jennings-sip-charter-00.txt  cisco
1 draft-zheng-ccamp-lmp-keepalive-overhead-reduce-00.txt  huawei huawei
2 draft-neves-rt-usage-80216-problem-statement-00.txt  it ua ua
1 draft-ietf-sidr-res-certs-00.txt  apnic apnic apnic
1 draft-zeilenga-ldap-managedit-00.txt  openldap
2 draft-hubert-dns-anti-spoofing-00.txt  netherlabs virtu
1 draft-pettersen-tls-interop-experience-00.txt  opera
1 draft-ietf-rtgwg-ipfrr-notvia-addresses-00.txt  cisco cisco cisco
1 draft-ietf-mip4-mobike-connectivity-00.txt  nokia nokia
1 draft-szego-wcor-smtp-00.txt  mindslip
1 draft-klensin-rfc-independent-00.txt  jck
7 draft-ietf-l2vpn-vpls-pim-snooping-00.txt  alcatel sbc alcatel alcatel riverstonenet alcatel alcatel riverstonenet ciena
2 draft-zengxing-ipng-00.txt  UNKNOWN 163
2 draft-hilt-sipping-hopbyhop-overload-00.txt  bell-labs lucent
3 draft-ietf-nsis-ntlp-sctp-00.txt  uni-goettingen christian-dickmann cam
2 draft-xia-16ng-per-ms-prefix-nd-00.txt  huawei huawei nokia
2 draft-swallow-rsvp-user-error-spec-00.txt  cisco olddog
1 draft-vidya-eap-keying-gap-analysis-00.txt  qualcomm qualcomm
2 draft-li-whole-lifecycle-model-00.txt  xjtu UNKNOWN
1 draft-khan-ip-serv-peer-arch-00.txt  sprint
1 draft-kuhn-leapsecond-00.txt  cam
1 draft-allan-pw-o-pbt-00.txt  nortel nortel nortel
2 draft-ietf-opsec-misc-cap-00.txt  juniper mitre
1 draft-aso-monami6-multiple-forwarding-00.txt  panasonic panasonic
1 draft-ietf-forces-mib-00.txt  ibm
3 draft-mun-mipshop-emipv6-aaa-00.txt  soongsil ssu etri etri
4 draft-soliman-mipshop-4140bis-00.txt  qualcomm inria homeip inria
2 draft-wenger-avt-topologies-00.txt  ericsson stewe
6 draft-dimitri-gels-solution-eval-00.txt  alcatel seabridgenetworks etri acreo ericsson nortel nortel
2 draft-mcgrew-srtp-ekt-00.txt  cisco cisco qualcomm
1 draft-ietf-lemonade-notifications-00.txt  oracle
1 draft-gpaterno-dhcp-ldap-00.txt  
1 draft-dhankins-atomic-dhcp-00.txt  isc
2 draft-petander-mipshop-fmipv6-bbsd-00.txt  UNKNOWN UNKNOWN UNKNOWN UNKNOWN nicta
1 draft-jsonorg-json-00.txt  crockford
1 draft-meyer-speermint-reqs-and-terminology-00.txt  cisco
2 draft-perlman-trill-rbridge-protocol-00.txt  sun isi
1 draft-ietf-smime-ibearch-00.txt  voltage voltage
5 draft-ietf-l1vpn-applicability-basic-mode-00.txt  att olddog nortel alcatel ntt
1 draft-zhang-mip6-find-reg-ha-00.txt  huawei huawei huawei
1 draft-robinson-pseudorandom-numbers-00.txt  UNKNOWN
1 draft-wen-ipv6-rsra-opt-pid-00.txt  alcatel
1 draft-sreeram-specify-method-00.txt  wipro wipro
2 draft-hdesinen-avt-rtp-evrc-wb-00.txt  qualcomm motorola
3 draft-ietf-sip-sec-flows-00.txt  cisco ntt estacado
1 draft-briscoe-tsvwg-re-ecn-border-cheat-00.txt  bt
1 draft-weis-tcp-auth-auto-ks-00.txt  cisco cisco cisco cisco
1 draft-donovan-sipping-service-override-00.txt  cisco
2 draft-ietf-proto-wgchair-tracker-ext-00.txt.bak  ericsson psg
1 draft-wu-sipping-media-recording-00.txt  avaya avaya
4 draft-ietf-ecrit-security-threats-00.txt  nortel siemens columbia siemens
1 draft-vasseur-mpls-nb-te-lsp-00.txt  cisco
3 draft-oki-pce-inter-layer-app-00.txt  ntt orange-ft olddog
2 draft-vasseur-mpls-3209-patherr-00.txt  cisco cisco olddog
1 draft-mnapierala-mvpn-rev-00.txt  att
2 draft-cain-post-inch-phishingextns-00.txt  coopercain antiphishing
1 draft-aggarwal-nfsv4-cksum-00.txt  sun
2 draft-housley-gigabeam-radio-link-encrypt-00.txt  vigilsec gigabeam
1 draft-josefsson-sasl-tls-cb-00.txt  josefsson
2 draft-ietf-tsvwg-diffserv-class-aggr-00.txt  nortel nortel cisco
1 draft-jokela-hip-service-discovery-00.txt  ericsson ericsson ericsson
2 draft-wolff-radext-ext-attribute-00.txt  databus cisco
2 draft-lafon-rfc2616bis-00.txt  w3 greenbytes
3 draft-ietf-dnsext-rollover-requirements-00.txt  shinkuro afilias sparta
3 draft-mraihi-inch-thraud-00.txt  entrust UNKNOWN verisign
1 draft-sayre-http-hmac-digest-00.txt  boswijck
2 draft-bagnulo-shim6-ingress-filtering-00.txt  microsoft uc3m
1 draft-yong-ccamp-ason-gmpls-autobw-service-00.txt  huawei huawei
1 draft-garcia-dime-aaa-uri-00.txt  nokia
