4 draft-ietf-keyprov-dskpp-00.txt  rsa verisign rsa diversinet
1 draft-ietf-avt-app-rtp-keepalive-00.txt  orange-ft orange-ft
2 draft-bernstein-ccamp-wavelength-switched-00.txt  grotto-networking huawei
1 draft-takacs-ccamp-rsvp-te-eth-oam-ext-00.txt  ericsson ericsson
2 draft-irtf-tmrg-ns2-tcp-tool-00.txt  nec nec bittorrent
3 draft-ietf-adslmib-gbond-mib-00.txt  actelis ecitele wipro
2 draft-elwell-bliss-dnd-00.txt  siemens microsoft
1 draft-baker-sava-cisco-ip-source-guard-00.txt  cisco
2 draft-boulton-xcon-conference-control-package-00.txt  ubiquitysoftware nortel
3 draft-manyfolks-hip-sturn-00.txt  ericsson ericsson hiit uc3m
2 draft-kutscher-dtnrg-uni-clayer-00.txt  tzi tzi jgre
1 draft-jhaas-idr-bgp4-mibv2-community-00.txt  pfrc
1 draft-raggarwa-l2vpn-p2mp-pw-00.txt  juniper
1 draft-morariu-dime-grid-accounting-00.txt  unizh unizh unizh unizh
1 draft-morin-mboned-mcast-blackhole-mitigation-00.txt  orange-ft orange-ft
3 draft-korhonen-dime-qos-attributes-00.txt  teliasonera UNKNOWN siemens
3 draft-boschi-ipfix-extended-type-00.txt  hitachi-eu cert fraunhofer fraunhofer
1 draft-reschke-http-get-location-00.txt  greenbytes
2 draft-krishnan-v6ops-teredo-update-00.txt  ericsson symantec
2 draft-xu-cops-push-00.txt  ritt ritt nortel
1 draft-klensin-unicode-escapes-00.txt  jck
1 draft-matthews-p2psip-id-loc-00.txt  avaya avaya avaya
1 draft-evain-ebu-urn-00.txt  ebu
1 draft-russert-netlmm-hmap-00.txt  boeing boeing
2 draft-hoffman-pkix-new-asn1-00.txt  vpnc exmsft
2 draft-ietf-lemonade-imap-notify-00.txt  isode isode oryx
1 draft-ietf-hokey-preauth-ps-00.txt  toshiba
2 draft-groves-megaco-pkgereg-00.txt  nteczone huawei
1 draft-saintandre-xmpp-presence-analysis-00.txt  jabber
2 draft-boulton-xcon-session-chat-00.txt  avaya nortel
3 draft-wood-tsvwg-saratoga-00.txt  cisco nasa nasa nasa sstl
1 draft-guo-mboned-mfec-framework-00.txt  huawei
1 draft-hallambaker-xptr-00.txt  verisign
1 draft-vidya-eap-usrk-ip-mobility-00.txt  qualcomm
2 draft-curran-lisp-emacs-00.txt  cisco cisco cisco istaff
1 draft-oliva-hiprg-reap4hip-00.txt  uc3m uc3m
3 draft-ietf-mpls-ldp-capabilities-00.txt  juniper juniper orange-ft cisco
1 draft-rfc-editor-errata-process-00.txt  rfc-editor
2 draft-pinkas-pkix-pki-dr-kr-00.txt  bull jeffersonwells
2 draft-chan-pcn-encoding-comparison-00.txt  nortel utwente
3 draft-berger-ccamp-gmpls-ether-svcs-00.txt  labn alcatel-lucent nortel
2 draft-imajuku-ccamp-ethernet-gmpls-req-00.txt  ntt ntt ntt kddi kddi
1 draft-ietf-opsawg-operations-and-management-00.txt  huawei
4 draft-muhanna-mip6-binding-revocation-00.txt  nortel nortel cisco starentnetworks cisco
1 draft-menth-pcn-performance-00.txt  uni-wuerzburg uni-wuerzburg
1 draft-freed-sieve-ihave-00.txt  sun
2 draft-ietf-ipr-3978-incoming-00.txt  harvard wilmerhale
1 draft-barnes-sip-em-ps-req-sol-00.txt  bbn bbn
1 draft-deng-sava-multihoming-problem-statement-00.txt  hitachi
3 draft-vijay-magma-igmpproxy-upstream-intf-learning-00.txt  huawei huawei infinera huawei
2 draft-ietf-ntp-autokey-00.txt  innovationslab udel
2 draft-ietf-lemonade-architecture-00.txt  bea nortel
1 draft-swallow-mpls-aggregated-fec-00.txt  cisco cisco
1 draft-babu-serv-cert-trans-from-proxy-00.txt  intoto
1 draft-salowey-tls-rsa-aes-gcm-00.txt  cisco cisco cisco
1 draft-zhao-sipping-mip-00.txt  huawei
1 draft-wolf-civicaddresses-austria-00.txt  nic nic
1 draft-otis-dkim-tpa-ssp-00.txt  trendmicro
4 draft-ietf-simple-interdomain-scaling-analysis-00.txt  ibm microsoft aol columbia columbia
2 draft-garcia-sipping-general-events-00.txt  nsn columbia
3 draft-ietf-ospf-hmac-sha-00.txt  alcatel-lucent ipinfusion cisco cisco
2 draft-choi-sipping-experiments-spit-00.txt  ssu ssu ssu kisa kisa
1 draft-damic-netlmm-pmip6-ind-discover-00.txt  nsn nsn nsn nsn
1 draft-zhang-monami6-multipleif-mcast-00.txt  bjtu
1 draft-marinov-isms-tlstm-00.txt  iu-bremen iu-bremen
4 draft-park-netlmm-fastpmip-00.txt  ssu sktelecom timenetworks ssu
3 draft-bberry-pppoe-scaled-credits-metrics-00.txt  cisco cisco cisco harris l-3com
1 draft-denis-simple-msrp-comedia-00.txt  nokia
3 draft-ietf-ipfix-mib-00.txt  nec ntt cisco
11 draft-iab-protocol-success-00.txt  acreo thinkingcat pipex intel vigilsec netnod cisco rtfm microsoft ucla microsoft
1 draft-manand-test-sip-ims-compliance-00.txt  aricent aricent
2 draft-ietf-mipshop-handover-key-00.txt  docomolabs-usa nokia
4 draft-aranda-qospolicy-00.txt  tid fraunhofer laas amu
4 draft-levine-smtp-batv-00.txt  taugh bbiw openwave dotat
2 draft-ietf-behave-turn-tcp-00.txt  cisco ekabal
2 draft-seitz-netconf-xacml-00.txt  sics axiomatics
1 draft-ietf-pcn-architecture-00.txt  bt
1 draft-rosen-l3vpn-mvpn-profiles-00.txt  cisco cisco cisco cisco
1 draft-ietf-pwe3-congestion-frmwk-00.txt  cisco cisco cisco cisco
1 draft-pinkas-pkix-lcvp-00.txt  bull
3 draft-ietf-hokey-emsk-hierarchy-00.txt  cisco qualcomm qualcomm huawei
3 draft-krishnan-mip6-firewall-vendor-00.txt  ericsson uni-goettingen a-star
1 draft-young-esds-concepts-00.txt  afilias
1 draft-haerri-manet-position-signaling-00.txt  eurecom eurecom eurecom
4 draft-hellstrom-txtgwy-00.txt  omnitor UNKNOWN realtimetext rnid
1 draft-chen-mpls-ldpigp-syn-accurate-00.txt  huawei
1 draft-morin-mboned-igmpmld-error-feedback-00.txt  orange-ft
1 draft-meyer-lisp-cons-00.txt  cisco cisco cisco cisco cisco
2 draft-barreto-ietf-dhhmac-sas-00.txt  ita ufabc
4 draft-stiemerling-rtsp-announce-00.txt  ntt ntt hitachi nec neclab
1 draft-ietf-smime-cms-aes-ccm-and-gcm-00.txt  vigilsec
1 draft-ietf-mediactrl-architecture-00.txt  UNKNOWN
1 draft-bormann-rohc-shutdown-profile-00.txt  tzi
3 draft-reid-dnsext-nkey-00.txt  telnic kirei telnic
1 draft-nottingham-http-cache-channels-00.txt  yahoo-inc
3 draft-chen-sigtran-m3ua-ext-00.txt  chinamobile alcatel chinamobile chinamobile
