 Number | Obsoleted |        Reference
        |     By    |          
--------+-----------+--------------------------------------------------------------------------------------------------

RFC0001 |           | Crocker, S., "Host Software", RFC 1, DOI 10.17487/RFC0001, April 1969, <https://www.rfc-editor.org/info/rfc1>.
RFC0002 |           | Duvall, B., "Host software", RFC 2, DOI 10.17487/RFC0002, April 1969, <https://www.rfc-editor.org/info/rfc2>.
RFC0003 |   RFC0010 | Crocker, S., "Documentation conventions", RFC 3, DOI 10.17487/RFC0003, April 1969, <https://www.rfc-editor.org/info/rfc3>.
RFC0004 |           | Shapiro, E., "Network timetable", RFC 4, DOI 10.17487/RFC0004, March 1969, <https://www.rfc-editor.org/info/rfc4>.
RFC0005 |           | Rulifson, J., "Decode Encode Language (DEL)", RFC 5, DOI 10.17487/RFC0005, June 1969, <https://www.rfc-editor.org/info/rfc5>.
RFC0006 |           | Crocker, S., "Conversation with Bob Kahn", RFC 6, DOI 10.17487/RFC0006, April 1969, <https://www.rfc-editor.org/info/rfc6>.
RFC0007 |           | Deloche, G., "Host-IMP interface", RFC 7, DOI 10.17487/RFC0007, May 1969, <https://www.rfc-editor.org/info/rfc7>.
RFC0008 |           | Deloche, G., "ARPA Network Functional Specifications", RFC 8, DOI 10.17487/RFC0008, May 1969, <https://www.rfc-editor.org/info/rfc8>.
RFC0009 |           | Deloche, G., "Host Software", RFC 9, DOI 10.17487/RFC0009, May 1969, <https://www.rfc-editor.org/info/rfc9>.
RFC0010 |   RFC0016 | Crocker, S., "Documentation conventions", RFC 10, DOI 10.17487/RFC0010, July 1969, <https://www.rfc-editor.org/info/rfc10>.
RFC0011 |   RFC0033 | Deloche, G., "Implementation of the Host - Host Software Procedures in GORDO", RFC 11, DOI 10.17487/RFC0011, August 1969, <https://www.rfc-editor.org/info/rfc11>.
RFC0012 |           | Wingfield, M., "IMP-Host interface flow diagrams", RFC 12, DOI 10.17487/RFC0012, August 1969, <https://www.rfc-editor.org/info/rfc12>.
RFC0013 |           | Cerf, V., "Zero Text Length EOF Message", RFC 13, DOI 10.17487/RFC0013, August 1969, <https://www.rfc-editor.org/info/rfc13>.
RFC0015 |           | Carr, C., "Network subsystem for time sharing hosts", RFC 15, DOI 10.17487/RFC0015, September 1969, <https://www.rfc-editor.org/info/rfc15>.
RFC0016 |   RFC0024 | Crocker, S., "M.I.T", RFC 16, DOI 10.17487/RFC0016, August 1969, <https://www.rfc-editor.org/info/rfc16>.
RFC0017 |           | Kreznar, J., "Some questions re: Host-IMP Protocol", RFC 17, DOI 10.17487/RFC0017, August 1969, <https://www.rfc-editor.org/info/rfc17>.
RFC0018 |           | Cerf, V., "IMP-IMP and HOST-HOST Control Links", RFC 18, DOI 10.17487/RFC0018, September 1969, <https://www.rfc-editor.org/info/rfc18>.
RFC0019 |           | Kreznar, J., "Two protocol suggestions to reduce congestion at swap bound nodes", RFC 19, DOI 10.17487/RFC0019, October 1969, <https://www.rfc-editor.org/info/rfc19>.
RFC0020 |           | Cerf, V., "ASCII format for network interchange", STD 80, RFC 20, DOI 10.17487/RFC0020, October 1969, <https://www.rfc-editor.org/info/rfc20>.
RFC0021 |           | Cerf, V., "Network meeting", RFC 21, DOI 10.17487/RFC0021, October 1969, <https://www.rfc-editor.org/info/rfc21>.
RFC0022 |           | Cerf, V., "Host-host control message formats", RFC 22, DOI 10.17487/RFC0022, October 1969, <https://www.rfc-editor.org/info/rfc22>.
RFC0023 |           | Gregg, G., "Transmission of Multiple Control Messages", RFC 23, DOI 10.17487/RFC0023, October 1969, <https://www.rfc-editor.org/info/rfc23>.
RFC0024 |           | Crocker, S., "Documentation Conventions", RFC 24, DOI 10.17487/RFC0024, November 1969, <https://www.rfc-editor.org/info/rfc24>.
RFC0025 |           | Crocker, S., "No High Link Numbers", RFC 25, DOI 10.17487/RFC0025, October 1969, <https://www.rfc-editor.org/info/rfc25>.
RFC0027 |           | Crocker, S., "Documentation Conventions", RFC 27, DOI 10.17487/RFC0027, December 1969, <https://www.rfc-editor.org/info/rfc27>.
RFC0028 |           | English, W., "Time Standards", RFC 28, DOI 10.17487/RFC0028, January 1970, <https://www.rfc-editor.org/info/rfc28>.
RFC0029 |           | Kahn, R., "Response to RFC 28", RFC 29, DOI 10.17487/RFC0029, January 1970, <https://www.rfc-editor.org/info/rfc29>.
RFC0030 |           | Crocker, S., "Documentation Conventions", RFC 30, DOI 10.17487/RFC0030, February 1970, <https://www.rfc-editor.org/info/rfc30>.
RFC0031 |           | Bobrow, D. and W. Sutherland, "Binary Message Forms in Computer", RFC 31, DOI 10.17487/RFC0031, February 1968, <https://www.rfc-editor.org/info/rfc31>.
RFC0032 |           | Cole, J., "Some Thoughts on SRI's Proposed Real Time Clock", RFC 32, DOI 10.17487/RFC0032, February 1970, <https://www.rfc-editor.org/info/rfc32>.
RFC0033 |           | Crocker, S., "New Host-Host Protocol", RFC 33, DOI 10.17487/RFC0033, February 1970, <https://www.rfc-editor.org/info/rfc33>.
RFC0034 |           | English, W., "Some Brief Preliminary Notes on the Augmentation Research Center Clock", RFC 34, DOI 10.17487/RFC0034, February 1970, <https://www.rfc-editor.org/info/rfc34>.
RFC0035 |           | Crocker, S., "Network Meeting", RFC 35, DOI 10.17487/RFC0035, March 1970, <https://www.rfc-editor.org/info/rfc35>.
RFC0036 |           | Crocker, S., "Protocol Notes", RFC 36, DOI 10.17487/RFC0036, March 1970, <https://www.rfc-editor.org/info/rfc36>.
RFC0037 |           | Crocker, S., "Network Meeting Epilogue, etc", RFC 37, DOI 10.17487/RFC0037, March 1970, <https://www.rfc-editor.org/info/rfc37>.
RFC0038 |           | Wolfe, S., "Comments on Network Protocol from NWG/RFC #36", RFC 38, DOI 10.17487/RFC0038, March 1970, <https://www.rfc-editor.org/info/rfc38>.
RFC0039 |           | Harslem, E. and J. Heafner, "Comments on Protocol Re: NWG/RFC #36", RFC 39, DOI 10.17487/RFC0039, March 1970, <https://www.rfc-editor.org/info/rfc39>.
RFC0040 |           | Harslem, E. and J. Heafner, "More Comments on the Forthcoming Protocol", RFC 40, DOI 10.17487/RFC0040, March 1970, <https://www.rfc-editor.org/info/rfc40>.
RFC0041 |           | Melvin, J., "IMP-IMP Teletype Communication", RFC 41, DOI 10.17487/RFC0041, March 1970, <https://www.rfc-editor.org/info/rfc41>.
RFC0042 |           | Ancona, E., "Message Data Types", RFC 42, DOI 10.17487/RFC0042, March 1970, <https://www.rfc-editor.org/info/rfc42>.
RFC0043 |           | Nemeth, A., "Proposed Meeting", RFC 43, DOI 10.17487/RFC0043, April 1970, <https://www.rfc-editor.org/info/rfc43>.
RFC0044 |           | Shoshani, A., Long, R., and A. Landsberg, "Comments on NWG/RFC 33 and 36", RFC 44, DOI 10.17487/RFC0044, April 1970, <https://www.rfc-editor.org/info/rfc44>.
RFC0045 |           | Postel, J. and S. Crocker, "New Protocol is Coming", RFC 45, DOI 10.17487/RFC0045, April 1970, <https://www.rfc-editor.org/info/rfc45>.
RFC0046 |           | Meyer, E., "ARPA Network protocol notes", RFC 46, DOI 10.17487/RFC0046, April 1970, <https://www.rfc-editor.org/info/rfc46>.
RFC0047 |           | Postel, J. and S. Crocker, "BBN's Comments on NWG/RFC #33", RFC 47, DOI 10.17487/RFC0047, April 1970, <https://www.rfc-editor.org/info/rfc47>.
RFC0048 |           | Postel, J. and S. Crocker, "Possible protocol plateau", RFC 48, DOI 10.17487/RFC0048, April 1970, <https://www.rfc-editor.org/info/rfc48>.
RFC0049 |           | Meyer, E., "Conversations with S. Crocker (UCLA)", RFC 49, DOI 10.17487/RFC0049, April 1970, <https://www.rfc-editor.org/info/rfc49>.
RFC0050 |           | Harslen, E. and J. Heafner, "Comments on the Meyer Proposal", RFC 50, DOI 10.17487/RFC0050, April 1970, <https://www.rfc-editor.org/info/rfc50>.
RFC0051 |           | Elie, M., "Proposal for a Network Interchange Language", RFC 51, DOI 10.17487/RFC0051, May 1970, <https://www.rfc-editor.org/info/rfc51>.
RFC0052 |           | Postel, J. and S. Crocker, "Updated distribution list", RFC 52, DOI 10.17487/RFC0052, July 1970, <https://www.rfc-editor.org/info/rfc52>.
